Datetime,Kps,Predicted_Kp
2007-04-06 02:00:00,1.7,1.6997844
2007-04-06 03:00:00,1.0,0.9998148
2007-04-06 04:00:00,1.0,1.0002303
2007-04-06 05:00:00,1.0,0.9999694
2007-04-06 06:00:00,0.7,0.78961515
2007-04-06 07:00:00,0.7,1.0342821
2007-04-06 08:00:00,0.7,0.6998441
2007-04-06 09:00:00,0.3,0.29991463
2007-04-06 10:00:00,0.3,0.3001902
2007-04-06 11:00:00,0.3,0.6372387
2007-04-06 12:00:00,0.3,0.30047223
2007-04-06 13:00:00,0.3,0.2999045
2007-04-06 14:00:00,0.3,0.30022535
2007-04-06 15:00:00,1.0,0.98901844
2007-04-06 16:00:00,1.0,0.9993822
2007-04-06 17:00:00,1.0,0.32640424
2007-04-06 18:00:00,1.0,1.0002413
2007-04-06 19:00:00,1.0,1.000294
2007-04-06 20:00:00,1.0,1.0000616
2007-04-06 21:00:00,2.7,2.6976016
2007-04-06 22:00:00,2.7,2.6984901
2007-04-06 23:00:00,2.7,1.1995362
2007-04-07 00:00:00,1.0,1.0001669
2007-04-07 01:00:00,1.0,1.0006107
2007-04-07 02:00:00,1.0,1.2268622
2007-04-07 03:00:00,0.0,0.0008005986
2007-04-07 04:00:00,0.0,0.00046084807
2007-04-07 05:00:00,0.0,0.00041563238
2007-04-07 06:00:00,0.0,0.001114072
2007-04-07 07:00:00,0.0,0.0003039805
2007-04-07 08:00:00,0.0,0.31095672
2007-04-07 09:00:00,0.7,0.70009387
2007-04-07 10:00:00,0.7,0.7000548
2007-04-07 11:00:00,0.7,0.6996696
2007-04-07 12:00:00,0.3,0.29998264
2007-04-07 13:00:00,0.3,0.3003403
2007-04-07 14:00:00,0.3,0.37935638
2007-04-07 15:00:00,0.0,-2.375555e-05
2007-04-07 16:00:00,0.0,0.00044595808
2007-04-07 17:00:00,0.0,2.4166744e-05
2007-04-07 18:00:00,0.3,0.29990104
2007-04-07 19:00:00,0.3,0.3002346
2007-04-07 20:00:00,0.3,0.2996043
2007-04-07 21:00:00,0.0,0.00074697286
2007-04-07 22:00:00,0.0,-0.00018285289
2007-04-07 23:00:00,0.0,0.00014284406
2007-04-08 00:00:00,0.0,0.00022317207
2007-04-08 01:00:00,0.0,0.0015499622
2007-04-08 02:00:00,0.0,0.19947146
2007-04-08 03:00:00,0.7,0.31548667
2007-04-08 04:00:00,0.7,0.6999976
2007-04-08 05:00:00,0.7,0.6990644
2007-04-08 06:00:00,0.7,0.56161064
2007-04-08 07:00:00,0.7,0.6997639
2007-04-08 08:00:00,0.7,0.7000147
2007-04-08 09:00:00,0.7,0.7000239
2007-04-08 10:00:00,0.7,0.52409786
2007-04-08 11:00:00,0.7,0.69972193
2007-04-08 12:00:00,0.7,0.6996179
2007-04-08 13:00:00,0.7,0.69979566
2007-04-08 14:00:00,0.7,0.70010656
2007-04-08 15:00:00,0.3,0.30012852
2007-04-08 16:00:00,0.3,0.3000827
2007-04-08 17:00:00,0.3,0.29994923
2007-04-08 18:00:00,2.0,0.8030987
2007-04-08 19:00:00,2.0,1.9992266
2007-04-08 20:00:00,2.0,2.0001242
2007-04-08 21:00:00,3.7,3.696413
2007-04-08 22:00:00,3.7,3.6987262
2007-04-08 23:00:00,3.7,3.699558
2007-04-09 00:00:00,3.3,3.299985
2007-04-09 01:00:00,3.3,3.300246
2007-04-09 02:00:00,3.3,3.3000414
2007-04-09 03:00:00,3.0,2.9999003
2007-04-09 04:00:00,3.0,3.0002687
2007-04-09 05:00:00,3.0,2.9996686
2007-04-09 06:00:00,2.3,2.3006134
2007-04-09 07:00:00,2.3,2.1451995
2007-04-09 08:00:00,2.3,2.3672554
2007-04-09 09:00:00,1.3,1.2999214
2007-04-09 10:00:00,1.3,1.3009908
2007-04-09 11:00:00,1.3,1.3000225
2007-04-09 12:00:00,0.7,0.7004868
2007-04-09 13:00:00,0.7,0.700642
2007-04-09 14:00:00,0.7,0.70017284
2007-04-09 15:00:00,0.7,0.983297
2007-04-09 16:00:00,0.7,0.6999668
2007-04-09 17:00:00,0.7,0.69985086
2007-04-09 18:00:00,1.0,0.99957836
2007-04-09 19:00:00,1.0,0.9996003
2007-04-09 20:00:00,1.0,0.9998279
2007-04-09 21:00:00,2.0,1.9998097
2007-04-09 22:00:00,2.0,1.9995422
2007-04-09 23:00:00,2.0,1.9982697
2007-04-10 00:00:00,0.3,0.30036995
2007-04-10 01:00:00,0.3,0.30054632
2007-04-10 02:00:00,0.3,0.30023563
2007-04-10 03:00:00,0.0,1.0075649
2007-04-10 04:00:00,0.0,0.64541775
2007-04-10 05:00:00,0.0,0.0027654115
2007-04-10 06:00:00,1.7,1.7001814
2007-04-10 07:00:00,1.7,1.6987191
2007-04-10 08:00:00,1.7,1.6998211
2007-04-10 09:00:00,2.7,2.6994805
2007-04-10 10:00:00,2.7,2.6992452
2007-04-10 11:00:00,2.7,2.6998928
2007-04-10 12:00:00,2.7,2.7838855
2007-04-10 13:00:00,2.7,2.6998518
2007-04-10 14:00:00,2.7,2.6996882
2007-04-10 15:00:00,2.0,2.0002098
2007-04-10 16:00:00,2.0,2.0010192
2007-04-10 17:00:00,2.0,2.4214418
2007-04-10 18:00:00,2.3,2.3000765
2007-04-10 19:00:00,2.3,1.8962458
2007-04-10 20:00:00,2.3,2.3008294
2007-04-10 21:00:00,2.3,2.2999804
2007-04-10 22:00:00,2.3,2.7397199
2007-04-10 23:00:00,2.3,2.3000221
2007-04-11 00:00:00,2.0,1.99997
2007-04-11 01:00:00,2.0,2.0003042
2007-04-11 02:00:00,2.0,2.0002367
2007-04-11 03:00:00,0.7,0.7011194
2007-04-11 04:00:00,0.7,0.70040166
2007-04-11 05:00:00,0.7,2.2940154
2007-04-11 06:00:00,0.7,1.3633966
2007-04-11 07:00:00,0.7,0.70026296
2007-04-11 08:00:00,0.7,0.69997185
2007-04-11 09:00:00,0.3,1.189947
2007-04-11 10:00:00,0.3,0.30129358
2007-04-11 11:00:00,0.3,0.89704
2007-04-11 12:00:00,0.3,0.3003709
2007-04-11 13:00:00,0.3,0.2998292
2007-04-11 14:00:00,0.3,0.30019927
2007-04-11 15:00:00,0.3,0.2998556
2007-04-11 16:00:00,0.3,0.51469696
2007-04-11 17:00:00,0.3,0.9810501
2007-04-11 18:00:00,0.3,0.30015457
2007-04-11 19:00:00,0.3,0.29968598
2007-04-11 20:00:00,0.3,0.3002854
2007-04-11 21:00:00,2.3,2.2997549
2007-04-11 22:00:00,2.3,1.117709
2007-04-11 23:00:00,2.3,1.4659249
2007-04-12 00:00:00,2.3,2.300088
2007-04-12 01:00:00,2.3,2.3001611
2007-04-12 02:00:00,2.3,2.30019
2007-04-12 03:00:00,1.7,1.7003134
